created_month,created_year,cd,total_requests,serviced_month,requesttype,count_service,avg_request_closed,percentage_service
April,2020,Council District 6,6815,April,Bulky Items,3573,2,52.43
April,2020,Council District 6,6815,April,Dead Animal Removal,1,0,0.01
April,2020,Council District 6,6815,April,Electronic Waste,262,2,3.84
April,2020,Council District 6,6815,April,Graffiti Removal,1031,1,15.13
April,2020,Council District 6,6815,April,Homeless Encampment,281,16,4.12
April,2020,Council District 6,6815,April,Illegal Dumping Pickup,971,3,14.25
April,2020,Council District 6,6815,April,Metal/Household Appliances,651,2,9.55
April,2020,Council District 6,6815,April,Multiple Streetlight Issue,12,6,0.18
April,2020,Council District 6,6815,April,Single Streetlight Issue,33,12,0.48
April,2020,Council District 7,6177,April,Bulky Items,3945,3,63.87
April,2020,Council District 7,6177,April,Electronic Waste,382,2,6.18
April,2020,Council District 7,6177,April,Graffiti Removal,345,1,5.59
April,2020,Council District 7,6177,April,Homeless Encampment,135,18,2.19
April,2020,Council District 7,6177,April,Illegal Dumping Pickup,431,4,6.98
April,2020,Council District 7,6177,April,Metal/Household Appliances,918,3,14.86
April,2020,Council District 7,6177,April,Multiple Streetlight Issue,7,3,0.11
April,2020,Council District 7,6177,April,Single Streetlight Issue,14,10,0.23
April,2020,Council District 8,7142,April,Bulky Items,4489,2,62.85
April,2020,Council District 8,7142,April,Electronic Waste,399,2,5.59
April,2020,Council District 8,7142,April,Graffiti Removal,480,11,6.72
April,2020,Council District 8,7142,April,Homeless Encampment,129,23,1.81
April,2020,Council District 8,7142,April,Illegal Dumping Pickup,718,4,10.05
April,2020,Council District 8,7142,April,Metal/Household Appliances,885,2,12.39
April,2020,Council District 8,7142,April,Multiple Streetlight Issue,13,23,0.18
April,2020,Council District 8,7142,April,Single Streetlight Issue,29,5,0.41
April,2020,Council District 9,5010,April,Bulky Items,2751,3,54.91
April,2020,Council District 9,5010,April,Dead Animal Removal,1,0,0.02
April,2020,Council District 9,5010,April,Electronic Waste,219,2,4.37
April,2020,Council District 9,5010,April,Graffiti Removal,622,4,12.42
April,2020,Council District 9,5010,April,Homeless Encampment,199,30,3.97
April,2020,Council District 9,5010,April,Illegal Dumping Pickup,588,6,11.74
April,2020,Council District 9,5010,April,Metal/Household Appliances,552,2,11.02
April,2020,Council District 9,5010,April,Multiple Streetlight Issue,44,19,0.88
April,2020,Council District 9,5010,April,Single Streetlight Issue,34,10,0.68
April,2020,Council District 10,6308,April,Bulky Items,3576,3,56.69
April,2020,Council District 10,6308,April,Electronic Waste,291,2,4.61
April,2020,Council District 10,6308,April,Graffiti Removal,962,2,15.25
April,2020,Council District 10,6308,April,Homeless Encampment,316,57,5.01
April,2020,Council District 10,6308,April,Illegal Dumping Pickup,442,8,7.01
April,2020,Council District 10,6308,April,Metal/Household Appliances,699,2,11.08
April,2020,Council District 10,6308,April,Multiple Streetlight Issue,6,18,0.1
April,2020,Council District 10,6308,April,Single Streetlight Issue,16,12,0.25
April,2020,Council District 11,4621,April,Bulky Items,2825,4,61.13
April,2020,Council District 11,4621,April,Electronic Waste,241,2,5.22
April,2020,Council District 11,4621,April,Graffiti Removal,386,3,8.35
April,2020,Council District 11,4621,April,Homeless Encampment,231,31,5.0
April,2020,Council District 11,4621,April,Illegal Dumping Pickup,237,7,5.13
April,2020,Council District 11,4621,April,Metal/Household Appliances,648,3,14.02
April,2020,Council District 11,4621,April,Multiple Streetlight Issue,10,3,0.22
April,2020,Council District 11,4621,April,Single Streetlight Issue,43,2,0.93
April,2020,Council District 12,6186,April,Bulky Items,3834,3,61.98
April,2020,Council District 12,6186,April,Electronic Waste,357,3,5.77
April,2020,Council District 12,6186,April,Graffiti Removal,520,1,8.41
April,2020,Council District 12,6186,April,Homeless Encampment,119,21,1.92
April,2020,Council District 12,6186,April,Illegal Dumping Pickup,336,4,5.43
April,2020,Council District 12,6186,April,Metal/Household Appliances,989,3,15.99
April,2020,Council District 12,6186,April,Multiple Streetlight Issue,7,24,0.11
April,2020,Council District 12,6186,April,Single Streetlight Issue,24,5,0.39
April,2020,Council District 13,6172,April,Bulky Items,3522,3,57.06
April,2020,Council District 13,6172,April,Electronic Waste,229,2,3.71
April,2020,Council District 13,6172,April,Graffiti Removal,1052,4,17.04
April,2020,Council District 13,6172,April,Homeless Encampment,272,67,4.41
April,2020,Council District 13,6172,April,Illegal Dumping Pickup,444,10,7.19
April,2020,Council District 13,6172,April,Metal/Household Appliances,600,2,9.72
April,2020,Council District 13,6172,April,Multiple Streetlight Issue,16,18,0.26
April,2020,Council District 13,6172,April,Single Streetlight Issue,37,22,0.6
April,2020,Council District 14,5381,April,Bulky Items,2829,3,52.57
April,2020,Council District 14,5381,April,Dead Animal Removal,1,22,0.02
April,2020,Council District 14,5381,April,Electronic Waste,250,3,4.65
April,2020,Council District 14,5381,April,Graffiti Removal,1152,31,21.41
April,2020,Council District 14,5381,April,Homeless Encampment,227,80,4.22
April,2020,Council District 14,5381,April,Illegal Dumping Pickup,331,19,6.15
April,2020,Council District 14,5381,April,Metal/Household Appliances,534,3,9.92
April,2020,Council District 14,5381,April,Multiple Streetlight Issue,25,31,0.46
April,2020,Council District 14,5381,April,Single Streetlight Issue,32,30,0.59
April,2020,Council District 15,5469,April,Bulky Items,3494,3,63.89
April,2020,Council District 15,5469,April,Electronic Waste,355,3,6.49
April,2020,Council District 15,5469,April,Graffiti Removal,261,9,4.77
April,2020,Council District 15,5469,April,Homeless Encampment,66,22,1.21
April,2020,Council District 15,5469,April,Illegal Dumping Pickup,416,4,7.61
April,2020,Council District 15,5469,April,Metal/Household Appliances,843,3,15.41
April,2020,Council District 15,5469,April,Multiple Streetlight Issue,9,18,0.16
April,2020,Council District 15,5469,April,Single Streetlight Issue,25,5,0.46
May,2020,Council District 1,5519,May,Bulky Items,3241,4,58.72
May,2020,Council District 1,5519,May,Electronic Waste,243,2,4.4
May,2020,Council District 1,5519,May,Graffiti Removal,803,3,14.55
May,2020,Council District 1,5519,May,Homeless Encampment,153,56,2.77
May,2020,Council District 1,5519,May,Illegal Dumping Pickup,408,10,7.39
May,2020,Council District 1,5519,May,Metal/Household Appliances,633,2,11.47
May,2020,Council District 1,5519,May,Multiple Streetlight Issue,12,18,0.22
May,2020,Council District 1,5519,May,Single Streetlight Issue,26,30,0.47
May,2020,Council District 2,7085,May,Bulky Items,4449,3,62.79
May,2020,Council District 2,7085,May,Electronic Waste,314,3,4.43
May,2020,Council District 2,7085,May,Graffiti Removal,709,2,10.01
May,2020,Council District 2,7085,May,Homeless Encampment,221,20,3.12
May,2020,Council District 2,7085,May,Illegal Dumping Pickup,519,5,7.33
May,2020,Council District 2,7085,May,Metal/Household Appliances,822,3,11.6
May,2020,Council District 2,7085,May,Multiple Streetlight Issue,15,19,0.21
May,2020,Council District 2,7085,May,Single Streetlight Issue,36,8,0.51
May,2020,Council District 3,6580,May,Bulky Items,4089,3,62.14
May,2020,Council District 3,6580,May,Electronic Waste,323,3,4.91
May,2020,Council District 3,6580,May,Graffiti Removal,370,2,5.62
May,2020,Council District 3,6580,May,Homeless Encampment,430,7,6.53
May,2020,Council District 3,6580,May,Illegal Dumping Pickup,381,4,5.79
May,2020,Council District 3,6580,May,Metal/Household Appliances,963,3,14.64
May,2020,Council District 3,6580,May,Multiple Streetlight Issue,6,16,0.09
May,2020,Council District 3,6580,May,Single Streetlight Issue,18,3,0.27
May,2020,Council District 4,5708,May,Bulky Items,3591,3,62.91
May,2020,Council District 4,5708,May,Electronic Waste,302,3,5.29
May,2020,Council District 4,5708,May,Graffiti Removal,406,4,7.11
May,2020,Council District 4,5708,May,Homeless Encampment,300,23,5.26
May,2020,Council District 4,5708,May,Illegal Dumping Pickup,256,7,4.48
May,2020,Council District 4,5708,May,Metal/Household Appliances,764,3,13.38
May,2020,Council District 4,5708,May,Multiple Streetlight Issue,26,33,0.46
May,2020,Council District 4,5708,May,Single Streetlight Issue,63,49,1.1
May,2020,Council District 5,5188,May,Bulky Items,3176,3,61.22
May,2020,Council District 5,5188,May,Electronic Waste,279,3,5.38
May,2020,Council District 5,5188,May,Graffiti Removal,434,4,8.37
May,2020,Council District 5,5188,May,Homeless Encampment,269,15,5.19
May,2020,Council District 5,5188,May,Illegal Dumping Pickup,229,4,4.41
May,2020,Council District 5,5188,May,Metal/Household Appliances,753,3,14.51
May,2020,Council District 5,5188,May,Multiple Streetlight Issue,18,42,0.35
May,2020,Council District 5,5188,May,Single Streetlight Issue,30,24,0.58
May,2020,Council District 6,7773,May,Bulky Items,4124,3,53.06
May,2020,Council District 6,7773,May,Electronic Waste,332,2,4.27
May,2020,Council District 6,7773,May,Graffiti Removal,976,1,12.56
May,2020,Council District 6,7773,May,Homeless Encampment,226,13,2.91
May,2020,Council District 6,7773,May,Illegal Dumping Pickup,1350,3,17.37
May,2020,Council District 6,7773,May,Metal/Household Appliances,739,3,9.51
May,2020,Council District 6,7773,May,Multiple Streetlight Issue,11,20,0.14
May,2020,Council District 6,7773,May,Single Streetlight Issue,15,4,0.19
May,2020,Council District 7,7130,May,Bulky Items,4492,3,63.0
May,2020,Council District 7,7130,May,Electronic Waste,409,3,5.74
May,2020,Council District 7,7130,May,Graffiti Removal,457,1,6.41
May,2020,Council District 7,7130,May,Homeless Encampment,165,8,2.31
May,2020,Council District 7,7130,May,Illegal Dumping Pickup,502,4,7.04
May,2020,Council District 7,7130,May,Metal/Household Appliances,1072,3,15.04
May,2020,Council District 7,7130,May,Multiple Streetlight Issue,11,10,0.15
May,2020,Council District 7,7130,May,Single Streetlight Issue,22,11,0.31
May,2020,Council District 8,8744,May,Bulky Items,5502,2,62.92
May,2020,Council District 8,8744,May,Electronic Waste,478,2,5.47
May,2020,Council District 8,8744,May,Graffiti Removal,414,14,4.73
May,2020,Council District 8,8744,May,Homeless Encampment,142,16,1.62
May,2020,Council District 8,8744,May,Illegal Dumping Pickup,1041,4,11.91
May,2020,Council District 8,8744,May,Metal/Household Appliances,1133,2,12.96
May,2020,Council District 8,8744,May,Multiple Streetlight Issue,8,6,0.09
May,2020,Council District 8,8744,May,Single Streetlight Issue,26,2,0.3
May,2020,Council District 9,5759,May,Bulky Items,3353,3,58.22
May,2020,Council District 9,5759,May,Electronic Waste,260,2,4.51
May,2020,Council District 9,5759,May,Graffiti Removal,408,2,7.08
May,2020,Council District 9,5759,May,Homeless Encampment,276,26,4.79
May,2020,Council District 9,5759,May,Illegal Dumping Pickup,747,6,12.97
May,2020,Council District 9,5759,May,Metal/Household Appliances,642,2,11.15
May,2020,Council District 9,5759,May,Multiple Streetlight Issue,25,13,0.43
May,2020,Council District 9,5759,May,Single Streetlight Issue,48,14,0.83
May,2020,Council District 10,7211,May,Bulky Items,4228,3,58.63
May,2020,Council District 10,7211,May,Electronic Waste,324,2,4.49
May,2020,Council District 10,7211,May,Graffiti Removal,814,3,11.29
May,2020,Council District 10,7211,May,Homeless Encampment,338,59,4.69
May,2020,Council District 10,7211,May,Illegal Dumping Pickup,606,6,8.4
May,2020,Council District 10,7211,May,Metal/Household Appliances,862,3,11.95
May,2020,Council District 10,7211,May,Multiple Streetlight Issue,11,31,0.15
May,2020,Council District 10,7211,May,Single Streetlight Issue,28,30,0.39
May,2020,Council District 11,5662,May,Bulky Items,3488,3,61.6
May,2020,Council District 11,5662,May,Electronic Waste,311,3,5.49
May,2020,Council District 11,5662,May,Graffiti Removal,442,5,7.81
May,2020,Council District 11,5662,May,Homeless Encampment,301,47,5.32
May,2020,Council District 11,5662,May,Illegal Dumping Pickup,260,11,4.59
May,2020,Council District 11,5662,May,Metal/Household Appliances,820,3,14.48
May,2020,Council District 11,5662,May,Multiple Streetlight Issue,9,1,0.16
May,2020,Council District 11,5662,May,Single Streetlight Issue,31,3,0.55
May,2020,Council District 12,7693,May,Bulky Items,4886,3,63.51
May,2020,Council District 12,7693,May,Electronic Waste,484,3,6.29
May,2020,Council District 12,7693,May,Graffiti Removal,513,1,6.67
May,2020,Council District 12,7693,May,Homeless Encampment,135,12,1.75
May,2020,Council District 12,7693,May,Illegal Dumping Pickup,386,4,5.02
May,2020,Council District 12,7693,May,Metal/Household Appliances,1243,3,16.16
May,2020,Council District 12,7693,May,Multiple Streetlight Issue,9,10,0.12
May,2020,Council District 12,7693,May,Single Streetlight Issue,37,12,0.48
May,2020,Council District 13,6587,May,Bulky Items,3836,4,58.24
May,2020,Council District 13,6587,May,Electronic Waste,244,2,3.7
May,2020,Council District 13,6587,May,Graffiti Removal,884,4,13.42
May,2020,Council District 13,6587,May,Homeless Encampment,272,81,4.13
May,2020,Council District 13,6587,May,Illegal Dumping Pickup,631,11,9.58
May,2020,Council District 13,6587,May,Metal/Household Appliances,656,2,9.96
May,2020,Council District 13,6587,May,Multiple Streetlight Issue,13,26,0.2
May,2020,Council District 13,6587,May,Single Streetlight Issue,51,27,0.77
May,2020,Council District 14,6484,May,Bulky Items,3798,3,58.57
May,2020,Council District 14,6484,May,Electronic Waste,311,2,4.8
May,2020,Council District 14,6484,May,Graffiti Removal,801,22,12.35
May,2020,Council District 14,6484,May,Homeless Encampment,286,89,4.41
May,2020,Council District 14,6484,May,Illegal Dumping Pickup,461,13,7.11
May,2020,Council District 14,6484,May,Metal/Household Appliances,716,3,11.04
May,2020,Council District 14,6484,May,Multiple Streetlight Issue,25,33,0.39
May,2020,Council District 14,6484,May,Single Streetlight Issue,86,46,1.33
May,2020,Council District 15,6367,May,Bulky Items,4063,3,63.81
May,2020,Council District 15,6367,May,Electronic Waste,372,3,5.84
May,2020,Council District 15,6367,May,Graffiti Removal,277,3,4.35
May,2020,Council District 15,6367,May,Homeless Encampment,73,34,1.15
May,2020,Council District 15,6367,May,Illegal Dumping Pickup,540,4,8.48
May,2020,Council District 15,6367,May,Metal/Household Appliances,1009,3,15.85
May,2020,Council District 15,6367,May,Multiple Streetlight Issue,10,5,0.16
May,2020,Council District 15,6367,May,Single Streetlight Issue,23,2,0.36
June,2020,Council District 1,6105,June,Bulky Items,3621,3,59.31
June,2020,Council District 1,6105,June,Dead Animal Removal,1,0,0.02
June,2020,Council District 1,6105,June,Electronic Waste,260,3,4.26
June,2020,Council District 1,6105,June,Graffiti Removal,854,3,13.99
June,2020,Council District 1,6105,June,Homeless Encampment,127,47,2.08
June,2020,Council District 1,6105,June,Illegal Dumping Pickup,526,6,8.62
June,2020,Council District 1,6105,June,Metal/Household Appliances,678,2,11.11
June,2020,Council District 1,6105,June,Multiple Streetlight Issue,16,43,0.26
June,2020,Council District 1,6105,June,Single Streetlight Issue,22,42,0.36
June,2020,Council District 2,7643,June,Bulky Items,4979,4,65.14
June,2020,Council District 2,7643,June,Electronic Waste,331,3,4.33
June,2020,Council District 2,7643,June,Graffiti Removal,670,1,8.77
June,2020,Council District 2,7643,June,Homeless Encampment,211,20,2.76
June,2020,Council District 2,7643,June,Illegal Dumping Pickup,499,7,6.53
June,2020,Council District 2,7643,June,Metal/Household Appliances,914,3,11.96
June,2020,Council District 2,7643,June,Multiple Streetlight Issue,13,17,0.17
June,2020,Council District 2,7643,June,Single Streetlight Issue,26,7,0.34
June,2020,Council District 3,7251,June,Bulky Items,4580,3,63.16
June,2020,Council District 3,7251,June,Dead Animal Removal,5,1,0.07
June,2020,Council District 3,7251,June,Electronic Waste,377,3,5.2
June,2020,Council District 3,7251,June,Graffiti Removal,411,2,5.67
June,2020,Council District 3,7251,June,Homeless Encampment,424,7,5.85
June,2020,Council District 3,7251,June,Illegal Dumping Pickup,435,3,6.0
June,2020,Council District 3,7251,June,Metal/Household Appliances,993,3,13.69
June,2020,Council District 3,7251,June,Multiple Streetlight Issue,12,12,0.17
June,2020,Council District 3,7251,June,Single Streetlight Issue,14,3,0.19
June,2020,Council District 4,6256,June,Bulky Items,4141,3,66.19
June,2020,Council District 4,6256,June,Electronic Waste,338,2,5.4
June,2020,Council District 4,6256,June,Graffiti Removal,406,5,6.49
June,2020,Council District 4,6256,June,Homeless Encampment,238,26,3.8
June,2020,Council District 4,6256,June,Illegal Dumping Pickup,220,6,3.52
June,2020,Council District 4,6256,June,Metal/Household Appliances,848,3,13.55
June,2020,Council District 4,6256,June,Multiple Streetlight Issue,17,39,0.27
June,2020,Council District 4,6256,June,Single Streetlight Issue,48,25,0.77
June,2020,Council District 5,6010,June,Bulky Items,3801,3,63.24
June,2020,Council District 5,6010,June,Electronic Waste,349,3,5.81
June,2020,Council District 5,6010,June,Graffiti Removal,475,6,7.9
June,2020,Council District 5,6010,June,Homeless Encampment,266,19,4.43
June,2020,Council District 5,6010,June,Illegal Dumping Pickup,263,6,4.38
June,2020,Council District 5,6010,June,Metal/Household Appliances,816,2,13.58
June,2020,Council District 5,6010,June,Multiple Streetlight Issue,10,22,0.17
June,2020,Council District 5,6010,June,Single Streetlight Issue,30,10,0.5
June,2020,Council District 6,8260,June,Bulky Items,4345,4,52.6
June,2020,Council District 6,8260,June,Electronic Waste,312,2,3.78
June,2020,Council District 6,8260,June,Graffiti Removal,1058,1,12.81
June,2020,Council District 6,8260,June,Homeless Encampment,236,11,2.86
June,2020,Council District 6,8260,June,Illegal Dumping Pickup,1529,4,18.51
June,2020,Council District 6,8260,June,Metal/Household Appliances,755,3,9.14
June,2020,Council District 6,8260,June,Multiple Streetlight Issue,9,5,0.11
June,2020,Council District 6,8260,June,Single Streetlight Issue,16,3,0.19
June,2020,Council District 7,7268,June,Bulky Items,4671,3,64.27
June,2020,Council District 7,7268,June,Electronic Waste,412,3,5.67
June,2020,Council District 7,7268,June,Graffiti Removal,446,0,6.14
June,2020,Council District 7,7268,June,Homeless Encampment,160,7,2.2
June,2020,Council District 7,7268,June,Illegal Dumping Pickup,530,4,7.29
June,2020,Council District 7,7268,June,Metal/Household Appliances,1013,3,13.94
June,2020,Council District 7,7268,June,Multiple Streetlight Issue,8,20,0.11
June,2020,Council District 7,7268,June,Single Streetlight Issue,28,6,0.39
June,2020,Council District 8,8683,June,Bulky Items,5537,2,63.77
June,2020,Council District 8,8683,June,Electronic Waste,427,2,4.92
June,2020,Council District 8,8683,June,Graffiti Removal,339,12,3.9
June,2020,Council District 8,8683,June,Homeless Encampment,143,21,1.65
June,2020,Council District 8,8683,June,Illegal Dumping Pickup,1144,4,13.18
June,2020,Council District 8,8683,June,Metal/Household Appliances,1049,2,12.08
June,2020,Council District 8,8683,June,Multiple Streetlight Issue,8,40,0.09
June,2020,Council District 8,8683,June,Single Streetlight Issue,36,13,0.41
June,2020,Council District 9,6204,June,Bulky Items,3715,3,59.88
June,2020,Council District 9,6204,June,Electronic Waste,278,2,4.48
June,2020,Council District 9,6204,June,Graffiti Removal,392,4,6.32
June,2020,Council District 9,6204,June,Homeless Encampment,211,35,3.4
June,2020,Council District 9,6204,June,Illegal Dumping Pickup,885,5,14.26
June,2020,Council District 9,6204,June,Metal/Household Appliances,660,2,10.64
June,2020,Council District 9,6204,June,Multiple Streetlight Issue,21,16,0.34
June,2020,Council District 9,6204,June,Single Streetlight Issue,42,18,0.68
June,2020,Council District 10,7489,June,Bulky Items,4492,3,59.98
June,2020,Council District 10,7489,June,Electronic Waste,361,3,4.82
June,2020,Council District 10,7489,June,Graffiti Removal,854,2,11.4
June,2020,Council District 10,7489,June,Homeless Encampment,276,48,3.69
June,2020,Council District 10,7489,June,Illegal Dumping Pickup,633,7,8.45
June,2020,Council District 10,7489,June,Metal/Household Appliances,837,3,11.18
June,2020,Council District 10,7489,June,Multiple Streetlight Issue,6,41,0.08
June,2020,Council District 10,7489,June,Single Streetlight Issue,30,27,0.4
June,2020,Council District 11,6133,June,Bulky Items,3814,3,62.19
June,2020,Council District 11,6133,June,Electronic Waste,348,3,5.67
June,2020,Council District 11,6133,June,Graffiti Removal,383,10,6.24
June,2020,Council District 11,6133,June,Homeless Encampment,414,30,6.75
June,2020,Council District 11,6133,June,Illegal Dumping Pickup,261,6,4.26
June,2020,Council District 11,6133,June,Metal/Household Appliances,893,3,14.56
June,2020,Council District 11,6133,June,Multiple Streetlight Issue,4,10,0.07
June,2020,Council District 11,6133,June,Single Streetlight Issue,16,3,0.26
June,2020,Council District 12,8078,June,Bulky Items,5276,3,65.31
June,2020,Council District 12,8078,June,Dead Animal Removal,1,0,0.01
June,2020,Council District 12,8078,June,Electronic Waste,473,3,5.86
June,2020,Council District 12,8078,June,Graffiti Removal,498,1,6.16
June,2020,Council District 12,8078,June,Homeless Encampment,141,19,1.75
June,2020,Council District 12,8078,June,Illegal Dumping Pickup,422,5,5.22
June,2020,Council District 12,8078,June,Metal/Household Appliances,1239,3,15.34
June,2020,Council District 12,8078,June,Multiple Streetlight Issue,6,16,0.07
June,2020,Council District 12,8078,June,Single Streetlight Issue,22,13,0.27
June,2020,Council District 13,7090,June,Bulky Items,4253,4,59.99
June,2020,Council District 13,7090,June,Dead Animal Removal,1,1,0.01
June,2020,Council District 13,7090,June,Electronic Waste,278,3,3.92
June,2020,Council District 13,7090,June,Graffiti Removal,987,5,13.92
June,2020,Council District 13,7090,June,Homeless Encampment,264,76,3.72
June,2020,Council District 13,7090,June,Illegal Dumping Pickup,548,13,7.73
June,2020,Council District 13,7090,June,Metal/Household Appliances,728,2,10.27
June,2020,Council District 13,7090,June,Multiple Streetlight Issue,4,12,0.06
June,2020,Council District 13,7090,June,Single Streetlight Issue,27,28,0.38
June,2020,Council District 14,6411,June,Bulky Items,3813,3,59.48
June,2020,Council District 14,6411,June,Dead Animal Removal,3,28,0.05
June,2020,Council District 14,6411,June,Electronic Waste,321,3,5.01
June,2020,Council District 14,6411,June,Graffiti Removal,860,10,13.41
June,2020,Council District 14,6411,June,Homeless Encampment,225,90,3.51
June,2020,Council District 14,6411,June,Illegal Dumping Pickup,488,11,7.61
June,2020,Council District 14,6411,June,Metal/Household Appliances,655,3,10.22
June,2020,Council District 14,6411,June,Multiple Streetlight Issue,20,30,0.31
June,2020,Council District 14,6411,June,Single Streetlight Issue,26,20,0.41
June,2020,Council District 15,6590,June,Bulky Items,4172,3,63.31
June,2020,Council District 15,6590,June,Electronic Waste,362,3,5.49
June,2020,Council District 15,6590,June,Graffiti Removal,357,2,5.42
June,2020,Council District 15,6590,June,Homeless Encampment,72,28,1.09
June,2020,Council District 15,6590,June,Illegal Dumping Pickup,607,4,9.21
June,2020,Council District 15,6590,June,Metal/Household Appliances,994,3,15.08
June,2020,Council District 15,6590,June,Multiple Streetlight Issue,6,4,0.09
June,2020,Council District 15,6590,June,Single Streetlight Issue,20,3,0.3
July,2020,Council District 1,6056,July,Bulky Items,3566,4,58.88
July,2020,Council District 1,6056,July,Electronic Waste,220,3,3.63
July,2020,Council District 1,6056,July,Graffiti Removal,984,3,16.25
July,2020,Council District 1,6056,July,Homeless Encampment,139,48,2.3
July,2020,Council District 1,6056,July,Illegal Dumping Pickup,488,9,8.06
July,2020,Council District 1,6056,July,Metal/Household Appliances,621,3,10.25
July,2020,Council District 1,6056,July,Multiple Streetlight Issue,16,63,0.26
July,2020,Council District 1,6056,July,Single Streetlight Issue,22,36,0.36
July,2020,Council District 2,7599,July,Bulky Items,5081,5,66.86
July,2020,Council District 2,7599,July,Electronic Waste,306,3,4.03
July,2020,Council District 2,7599,July,Graffiti Removal,697,1,9.17
July,2020,Council District 2,7599,July,Homeless Encampment,175,32,2.3
July,2020,Council District 2,7599,July,Illegal Dumping Pickup,519,8,6.83
July,2020,Council District 2,7599,July,Metal/Household Appliances,788,3,10.37
July,2020,Council District 2,7599,July,Multiple Streetlight Issue,14,5,0.18
July,2020,Council District 2,7599,July,Single Streetlight Issue,19,9,0.25
July,2020,Council District 3,6889,July,Bulky Items,4386,3,63.67
July,2020,Council District 3,6889,July,Dead Animal Removal,1,1,0.01
July,2020,Council District 3,6889,July,Electronic Waste,317,3,4.6
July,2020,Council District 3,6889,July,Graffiti Removal,384,2,5.57
July,2020,Council District 3,6889,July,Homeless Encampment,364,17,5.28
July,2020,Council District 3,6889,July,Illegal Dumping Pickup,453,4,6.58
July,2020,Council District 3,6889,July,Metal/Household Appliances,959,3,13.92
July,2020,Council District 3,6889,July,Multiple Streetlight Issue,7,3,0.1
July,2020,Council District 3,6889,July,Single Streetlight Issue,18,4,0.26
July,2020,Council District 4,6743,July,Bulky Items,4478,3,66.41
July,2020,Council District 4,6743,July,Electronic Waste,284,3,4.21
July,2020,Council District 4,6743,July,Graffiti Removal,424,3,6.29
July,2020,Council District 4,6743,July,Homeless Encampment,248,25,3.68
July,2020,Council District 4,6743,July,Illegal Dumping Pickup,279,8,4.14
July,2020,Council District 4,6743,July,Metal/Household Appliances,942,3,13.97
July,2020,Council District 4,6743,July,Multiple Streetlight Issue,36,17,0.53
July,2020,Council District 4,6743,July,Single Streetlight Issue,52,25,0.77
July,2020,Council District 5,6099,July,Bulky Items,4039,3,66.22
July,2020,Council District 5,6099,July,Dead Animal Removal,2,0,0.03
July,2020,Council District 5,6099,July,Electronic Waste,304,3,4.98
July,2020,Council District 5,6099,July,Graffiti Removal,330,4,5.41
July,2020,Council District 5,6099,July,Homeless Encampment,230,36,3.77
July,2020,Council District 5,6099,July,Illegal Dumping Pickup,273,5,4.48
July,2020,Council District 5,6099,July,Metal/Household Appliances,873,3,14.31
July,2020,Council District 5,6099,July,Multiple Streetlight Issue,15,13,0.25
July,2020,Council District 5,6099,July,Single Streetlight Issue,33,11,0.54
July,2020,Council District 6,7721,July,Bulky Items,4208,5,54.5
July,2020,Council District 6,7721,July,Dead Animal Removal,1,0,0.01
July,2020,Council District 6,7721,July,Electronic Waste,283,3,3.67
July,2020,Council District 6,7721,July,Graffiti Removal,727,1,9.42
July,2020,Council District 6,7721,July,Homeless Encampment,253,17,3.28
July,2020,Council District 6,7721,July,Illegal Dumping Pickup,1491,5,19.31
July,2020,Council District 6,7721,July,Metal/Household Appliances,731,3,9.47
July,2020,Council District 6,7721,July,Multiple Streetlight Issue,7,6,0.09
July,2020,Council District 6,7721,July,Single Streetlight Issue,20,15,0.26
July,2020,Council District 7,7766,July,Bulky Items,4916,3,63.3
July,2020,Council District 7,7766,July,Dead Animal Removal,1,0,0.01
July,2020,Council District 7,7766,July,Electronic Waste,434,3,5.59
July,2020,Council District 7,7766,July,Graffiti Removal,526,0,6.77
July,2020,Council District 7,7766,July,Homeless Encampment,228,16,2.94
July,2020,Council District 7,7766,July,Illegal Dumping Pickup,596,4,7.67
July,2020,Council District 7,7766,July,Metal/Household Appliances,1034,3,13.31
July,2020,Council District 7,7766,July,Multiple Streetlight Issue,8,6,0.1
July,2020,Council District 7,7766,July,Single Streetlight Issue,23,7,0.3
July,2020,Council District 8,9928,July,Bulky Items,6492,2,65.39
July,2020,Council District 8,9928,July,Dead Animal Removal,1,72,0.01
July,2020,Council District 8,9928,July,Electronic Waste,442,2,4.45
July,2020,Council District 8,9928,July,Graffiti Removal,266,15,2.68
July,2020,Council District 8,9928,July,Homeless Encampment,141,31,1.42
July,2020,Council District 8,9928,July,Illegal Dumping Pickup,1392,4,14.02
July,2020,Council District 8,9928,July,Metal/Household Appliances,1137,2,11.45
July,2020,Council District 8,9928,July,Multiple Streetlight Issue,17,33,0.17
July,2020,Council District 8,9928,July,Single Streetlight Issue,40,20,0.4
July,2020,Council District 9,6547,July,Bulky Items,3906,3,59.66
July,2020,Council District 9,6547,July,Electronic Waste,229,2,3.5
July,2020,Council District 9,6547,July,Graffiti Removal,434,2,6.63
July,2020,Council District 9,6547,July,Homeless Encampment,232,51,3.54
July,2020,Council District 9,6547,July,Illegal Dumping Pickup,1018,7,15.55
July,2020,Council District 9,6547,July,Metal/Household Appliances,631,2,9.64
July,2020,Council District 9,6547,July,Multiple Streetlight Issue,41,41,0.63
July,2020,Council District 9,6547,July,Single Streetlight Issue,56,23,0.86
July,2020,Council District 10,8902,July,Bulky Items,5374,3,60.37
July,2020,Council District 10,8902,July,Dead Animal Removal,1,55,0.01
